int_movement_id,int_player_id,int_acceleration,int_sprint_speed,int_agility,int_reactions,int_balance
80,80,74,73,73,86,75
81,81,76,72,81,80,74
82,82,92,84,93,80,93
83,83,68,66,73,88,80
84,84,55,56,52,81,44
85,85,77,84,60,86,46
86,86,78,83,78,84,77
87,87,74,70,77,84,80
88,88,52,49,63,80,72
89,89,74,55,91,85,90
90,90,90,94,66,84,69
91,91,82,78,83,85,82
92,92,42,44,41,82,42
93,93,58,62,60,84,55
94,94,60,65,59,85,62
95,95,59,55,57,74,53
96,96,77,76,84,86,88
97,97,68,66,75,84,81
98,98,90,82,94,86,92
99,99,57,61,67,81,66
100,100,80,88,75,83,67
101,101,84,83,86,84,78
102,102,68,65,79,85,90
103,103,83,81,82,81,79
104,104,70,72,69,87,67
105,105,64,62,68,84,53
106,106,65,69,54,79,40
107,107,62,63,72,75,76
108,108,94,93,88,84,84
109,109,84,85,75,83,70
110,110,77,85,84,83,83
111,111,52,83,33,81,32
112,112,88,90,83,82,79
113,113,81,82,77,84,82
114,114,86,84,84,83,86
115,115,68,74,75,85,50
116,116,82,67,87,84,90
117,117,67,69,73,84,69
118,118,58,66,65,83,55
119,119,76,83,75,86,80
120,120,73,82,75,83,68
121,121,81,84,80,82,79
122,122,71,69,71,84,66
123,123,78,78,69,83,78
124,124,86,82,91,86,89
125,125,69,68,61,81,59
126,126,78,73,77,83,77
127,127,71,65,83,74,90
128,128,78,77,76,88,77
129,129,70,69,81,83,81
130,130,88,81,91,84,87
131,131,78,86,90,84,72
132,132,94,93,92,80,91
133,133,44,50,49,82,52
134,134,86,89,84,82,80
135,135,68,66,72,86,73
136,136,69,73,72,88,57
137,137,53,57,61,79,54
138,138,62,64,74,82,70
139,139,62,58,77,82,80
140,140,50,51,52,79,55
141,141,50,58,61,81,47
142,142,90,84,81,84,84
143,143,67,62,69,88,77
144,144,82,89,76,84,69
145,145,93,95,77,81,74
146,146,93,92,89,78,81
147,147,87,83,91,87,90
148,148,90,87,86,84,71
149,149,84,88,85,82,73
150,150,81,85,68,84,64
151,151,91,92,80,82,78
152,152,91,93,87,82,81
153,153,88,87,79,79,90
154,154,78,85,65,83,66
155,155,77,75,82,83,90
156,156,80,77,85,74,83
157,157,67,73,72,85,70
158,158,45,52,40,74,57
159,159,49,44,47,77,60
160,160,78,76,68,82,55
161,161,80,79,81,79,91
162,162,93,94,90,83,89
163,163,72,78,67,82,60
164,164,41,46,45,78,47
165,165,81,86,81,83,79
166,166,68,76,75,84,68
167,167,87,85,78,81,78
168,168,68,72,59,80,53
169,169,89,87,76,81,77
170,170,75,77,74,86,68
171,171,78,73,87,82,84
172,172,89,87,91,78,90
173,173,65,67,61,79,66
174,174,61,50,77,81,72
175,175,90,90,83,78,81
176,176,82,81,85,83,88
177,177,86,83,91,82,88
178,178,77,69,78,88,86
179,179,66,59,32,85,35
180,180,75,79,69,80,74
181,181,63,64,67,83,62
182,182,67,66,77,81,84
183,183,71,51,79,87,86
184,184,88,92,87,75,79
185,185,51,67,51,84,42
186,186,58,53,70,83,48
187,187,77,75,81,84,82
188,188,44,46,50,82,43
189,189,80,83,67,81,60
190,190,38,44,43,82,39
191,191,83,79,91,80,95
192,192,77,68,91,82,93
193,193,45,52,42,82,37
194,194,83,73,88,80,86
195,195,74,71,73,82,85
196,196,66,66,77,85,77
197,197,74,72,73,81,77
198,198,66,66,70,81,62
199,199,64,76,55,83,52
200,200,82,84,77,80,80
201,201,66,65,73,85,77
202,202,61,58,56,83,36
203,203,65,61,76,81,80
204,204,71,71,75,85,83
205,205,81,78,83,82,85
206,206,86,89,78,79,65
207,207,55,61,56,82,60
208,208,76,75,83,80,79
209,209,80,80,81,83,81
210,210,73,70,73,86,73
211,211,62,67,71,84,69
212,212,53,43,52,82,36
213,213,60,53,75,79,85
214,214,53,52,71,82,39
215,215,82,87,76,79,72
216,216,35,37,39,80,27
217,217,82,74,82,82,83
218,218,80,76,76,85,57
219,219,41,42,34,82,41
220,220,67,60,71,83,66
221,221,76,77,83,82,80
222,222,79,88,75,84,69
223,223,88,90,89,83,79
224,224,72,74,69,77,60
225,225,83,86,76,79,74
226,226,63,60,65,79,70
227,227,49,34,49,80,42
228,228,84,82,70,84,66
229,229,79,79,79,78,76
230,230,77,77,70,85,68
231,231,73,71,71,82,69
232,232,76,67,83,83,84
233,233,47,46,39,80,55
234,234,56,52,58,76,50
235,235,86,82,89,82,87
236,236,84,76,87,78,75
237,237,67,66,65,80,61
238,238,48,42,62,78,53
239,239,90,91,90,80,71
240,240,66,81,73,81,75
241,241,54,66,55,85,49
242,242,80,83,79,85,64
243,243,82,78,85,83,70
244,244,36,37,36,79,56
245,245,50,47,36,75,42
246,246,47,53,54,82,51
247,247,91,90,86,82,78
248,248,69,68,66,81,65
249,249,75,84,72,80,63
250,250,55,52,68,82,60
251,251,95,88,93,80,92
252,252,63,68,57,75,60
253,253,83,77,85,78,75
254,254,55,52,78,84,76
255,255,90,91,79,83,74
256,256,57,56,70,77,30
257,257,56,52,59,78,49
258,258,47,51,45,82,43
259,259,79,84,79,80,61
260,260,56,54,58,79,58
261,261,59,49,74,86,72
262,262,80,81,82,83,76
263,263,67,68,72,81,74
264,264,69,67,61,83,58
265,265,77,82,72,78,80
266,266,60,62,68,78,62
267,267,78,79,76,79,73
268,268,86,78,86,80,79
269,269,59,54,62,79,58
270,270,62,59,64,85,64
271,271,72,69,83,80,77
272,272,67,61,75,81,71
273,273,62,60,69,80,62
274,274,48,43,53,82,55
275,275,37,30,55,80,49
276,276,85,83,83,80,82
277,277,79,83,85,83,80
278,278,96,90,90,76,92
279,279,57,54,65,80,30
280,280,88,77,80,76,68
281,281,63,67,54,78,56
282,282,80,81,78,82,84
283,283,61,69,66,79,60
284,284,91,87,85,77,89
285,285,96,96,85,79,82
286,286,91,91,86,82,79
287,287,79,86,79,80,72
288,288,77,76,75,82,66
289,289,85,79,75,80,67
290,290,78,80,83,80,81
291,291,74,82,60,84,47
292,292,75,78,72,80,77
293,293,92,93,81,82,78
294,294,68,74,61,78,63
295,295,77,76,70,80,72
296,296,91,87,87,79,86
297,297,39,35,32,76,37
298,298,68,69,66,80,66
299,299,71,73,76,82,74
300,300,85,88,80,82,77
301,301,76,72,85,78,90
302,302,57,72,63,83,44
303,303,89,84,87,81,84
304,304,77,66,89,81,90
305,305,68,79,60,78,55
306,306,76,74,86,75,83
307,307,84,82,89,81,87
308,308,68,60,69,78,77
309,309,93,94,77,78,64
310,310,82,83,80,76,86
311,311,75,77,81,81,71
312,312,81,86,84,80,67
313,313,48,48,48,75,45
314,314,81,77,88,77,83
315,315,42,44,67,83,38
316,316,76,78,72,78,79
317,317,69,74,75,83,72
318,318,79,79,86,84,87
319,319,87,90,85,83,78
320,320,66,63,61,82,73
321,321,69,62,76,78,77
322,322,87,90,91,81,92
323,323,34,33,41,72,39
324,324,78,78,75,80,74
325,325,45,44,34,74,43
326,326,64,74,67,83,53
327,327,41,37,37,71,43
328,328,63,76,57,81,50
329,329,65,70,66,77,63
330,330,53,44,55,80,55
331,331,75,84,68,80,65
332,332,60,62,60,80,45
333,333,76,81,89,82,75
334,334,77,85,78,78,74
335,335,83,79,86,79,81
336,336,79,76,80,77,83
337,337,73,80,63,80,47
338,338,88,89,89,75,87
339,339,69,75,67,81,68
340,340,84,80,72,81,82
341,341,76,70,74,82,82
342,342,79,77,82,85,82
343,343,56,50,48,79,50
344,344,65,65,70,80,67
345,345,74,73,78,78,80
346,346,84,78,90,78,71
347,347,55,63,32,75,31
348,348,81,59,90,82,82
349,349,79,77,83,78,91
350,350,77,77,73,80,72
351,351,88,90,91,81,81
352,352,70,68,79,83,83
353,353,89,84,84,77,79
354,354,93,91,90,74,83
355,355,81,80,85,75,84
356,356,67,65,73,83,77
357,357,41,49,53,81,54
358,358,34,39,47,83,45
359,359,62,69,63,80,61
360,360,64,65,57,80,56
361,361,50,52,34,74,52
362,362,69,70,76,81,72
363,363,50,47,53,75,44
364,364,48,34,57,75,40
365,365,75,73,83,83,87
366,366,70,71,72,82,69
367,367,69,66,66,78,57
368,368,63,69,62,79,48
369,369,61,56,79,75,75
370,370,78,81,72,73,48
371,371,88,75,83,82,76
372,372,83,78,77,85,68
373,373,78,80,83,80,81
374,374,79,81,55,83,55
375,375,86,78,89,80,88
376,376,69,68,78,78,77
377,377,67,74,61,76,63
378,378,41,42,34,78,41
379,379,84,85,82,78,73
380,380,82,83,78,78,88
381,381,77,79,69,81,67
382,382,67,68,67,80,60
383,383,95,95,94,75,82
384,384,86,86,90,78,86
385,385,79,69,84,82,86
386,386,51,48,61,79,56
387,387,78,70,79,80,76
388,388,50,54,58,78,75
389,389,90,93,75,76,61
390,390,74,76,76,80,77
391,391,79,77,85,77,83
392,392,65,72,64,77,57
393,393,46,48,32,70,47
394,394,65,69,55,74,67
395,395,87,75,85,80,89
396,396,43,39,42,77,48
397,397,81,72,83,81,71
398,398,93,95,86,79,84
399,399,75,77,75,80,65
400,400,69,84,62,75,65
401,401,79,88,74,79,54
402,402,66,70,53,80,75
403,403,75,72,78,78,78
404,404,40,46,69,73,40
405,405,94,94,94,75,92
406,406,77,87,68,73,65
407,407,88,79,87,82,86
408,408,80,76,78,79,83
409,409,65,55,77,75,90
410,410,82,78,77,77,78
411,411,72,67,78,80,79
412,412,79,88,63,81,60
413,413,93,93,90,79,76
414,414,62,66,65,83,62
415,415,79,88,72,79,64
416,416,86,63,76,78,85
417,417,68,62,64,83,65
418,418,72,72,75,82,74
419,419,93,93,93,77,87
420,420,46,42,32,68,39
421,421,41,45,37,77,39
422,422,58,63,65,79,64
423,423,71,68,80,73,77
424,424,81,79,85,78,79
425,425,68,62,79,84,78
426,426,78,81,74,80,68
427,427,58,63,60,78,55
428,428,78,86,78,78,85
429,429,79,77,87,77,73
430,430,78,74,85,81,80
431,431,77,81,78,76,76
432,432,83,79,80,81,82
433,433,76,76,78,76,75
434,434,80,76,80,77,77
435,435,41,44,49,76,47
436,436,78,75,85,79,82
437,437,76,70,79,81,78
438,438,73,73,68,78,68
439,439,69,72,67,78,63
440,440,60,73,52,76,52
441,441,77,79,66,75,72
442,442,74,76,74,76,75
443,443,84,86,78,79,77
444,444,78,70,66,82,66
445,445,64,71,60,78,59
446,446,54,69,54,74,47
447,447,55,63,55,79,53
448,448,87,88,77,78,81
449,449,89,87,93,75,83
450,450,76,74,79,78,74
451,451,65,75,64,76,63
452,452,44,40,36,78,25
453,453,72,83,60,75,73
454,454,85,87,73,79,74
455,455,65,62,68,78,75
456,456,48,55,49,73,61
457,457,53,52,53,74,50
458,458,91,90,83,81,72
459,459,73,72,71,82,73
460,460,77,77,70,78,76
461,461,67,69,59,81,53
462,462,69,67,77,78,69
463,463,78,74,77,83,77
464,464,64,70,65,82,37
465,465,63,68,66,76,60
466,466,79,77,80,79,83
467,467,73,77,67,78,60
468,468,68,75,71,78,73
469,469,67,63,64,80,57
470,470,80,81,72,76,81
471,471,42,45,43,79,47
472,472,66,70,72,79,72
473,473,61,45,69,82,73
474,474,81,76,80,74,81
475,475,54,55,57,81,60
476,476,51,52,63,74,48
477,477,78,69,81,79,82
478,478,83,78,70,80,91
479,479,71,71,79,82,80
480,480,72,72,74,78,77
481,481,69,70,65,78,73
482,482,64,54,68,84,79
483,483,61,53,62,80,62
484,484,82,76,85,81,85
485,485,81,77,86,79,87
486,486,84,76,93,78,93
487,487,59,61,66,76,56
488,488,71,75,57,80,53
489,489,61,61,48,75,53
490,490,63,61,57,76,47
491,491,56,54,55,76,51
492,492,68,67,70,82,71
493,493,70,74,66,82,66
494,494,47,44,55,81,44
495,495,74,76,74,80,73
496,496,45,46,57,83,63
497,497,74,76,77,78,76
498,498,55,58,46,81,57
499,499,62,68,60,76,63
500,500,45,50,51,78,55
501,501,64,61,73,82,75
502,502,72,73,81,71,90
503,503,62,65,70,83,76
504,504,68,67,59,78,58
505,505,51,50,53,71,45
506,506,78,67,85,77,78
507,507,62,54,70,84,73
508,508,67,71,68,83,70
509,509,75,74,79,74,86
510,510,92,89,92,74,85
511,511,58,62,66,76,43
512,512,80,81,72,78,80
513,513,81,75,82,81,75
514,514,88,86,86,80,90
515,515,74,76,65,81,42
516,516,77,60,80,76,86
517,517,88,86,87,78,85
518,518,78,79,72,82,73
519,519,30,18,32,75,29
520,520,77,77,71,82,75
521,521,83,82,63,77,63
522,522,92,91,80,78,79
523,523,58,62,61,80,59
524,524,51,65,39,74,34
525,525,82,84,76,72,72
526,526,77,74,87,78,89
527,527,79,73,84,81,86
528,528,67,68,69,78,62
529,529,71,69,70,76,68
530,530,74,61,79,80,78
531,531,85,82,80,79,78
532,532,36,33,48,77,27
533,533,90,89,92,76,81
534,534,62,67,53,75,58
535,535,77,80,75,80,70
536,536,79,78,78,75,78
537,537,63,67,70,78,74
538,538,81,83,80,74,68
539,539,76,82,68,75,53
540,540,81,92,77,78,68
541,541,68,71,62,74,65
542,542,86,80,82,85,73
543,543,58,62,66,76,43
544,544,62,78,67,75,69
545,545,68,66,76,78,71
546,546,85,82,73,76,66
547,547,90,89,87,80,90
548,548,93,84,90,78,82
549,549,75,67,77,80,73
550,550,71,75,72,74,64
551,551,79,84,74,78,86
552,552,75,75,69,76,70
553,553,59,76,56,75,45
554,554,87,90,66,78,50
555,555,68,76,68,78,68
556,556,70,66,76,75,75
557,557,77,83,87,82,79
558,558,71,77,69,74,61
559,559,60,63,49,76,59
560,560,62,68,67,77,61
561,561,93,90,92,77,85
562,562,67,70,60,76,61
563,563,63,69,61,78,72
564,564,67,71,64,84,46
565,565,73,62,83,80,82
566,566,67,52,76,80,65
567,567,83,77,82,78,80
568,568,73,77,69,79,61
569,569,69,69,63,76,73
570,570,84,91,74,76,68
571,571,63,65,64,75,56
572,572,60,60,70,73,68
573,573,82,82,74,74,80
574,574,66,67,64,80,71
575,575,86,86,77,78,80
576,576,51,46,66,81,76
577,577,67,64,62,80,66
578,578,79,78,83,82,79
579,579,85,91,89,77,85
580,580,75,78,72,76,71
581,581,76,71,75,77,73
582,582,74,76,78,77,78
583,583,84,90,85,72,67
584,584,97,96,85,66,88
585,585,77,76,78,78,70
586,586,63,69,61,78,61
587,587,82,75,84,82,85
588,588,63,68,48,80,38
589,589,42,48,62,76,40
590,590,79,82,76,77,74
591,591,55,61,62,75,61
592,592,46,48,56,77,52
593,593,84,80,80,76,77
594,594,85,73,81,73,86
595,595,75,72,78,79,68
596,596,83,79,75,77,76
597,597,90,89,76,72,73
598,598,84,79,82,76,78
599,599,88,85,91,75,93
600,600,31,30,34,71,24
601,601,75,74,73,79,70
602,602,63,63,74,77,72
603,603,74,66,77,80,73
604,604,70,70,78,80,82
605,605,66,60,65,77,67
606,606,44,47,45,75,48
607,607,92,84,95,75,96
608,608,69,68,71,76,75
609,609,65,66,67,81,66
610,610,71,64,63,78,73
611,611,53,54,62,76,63
612,612,66,55,75,75,77
613,613,50,49,48,74,56
614,614,88,77,88,76,89
615,615,79,79,67,77,70
616,616,68,63,77,82,84
617,617,87,87,81,74,75
618,618,67,68,65,76,71
619,619,36,38,40,79,42
620,620,73,76,74,73,81
621,621,51,54,48,77,40
622,622,46,48,48,79,54
623,623,53,66,54,77,35
624,624,64,63,74,79,78
625,625,68,69,73,80,68
626,626,66,77,70,75,62
627,627,68,69,79,77,79
628,628,68,67,73,78,66
629,629,45,47,50,78,40
630,630,76,78,71,80,62
631,631,37,35,36,75,34
632,632,76,75,76,77,77
633,633,76,78,72,80,72
634,634,67,70,67,79,64
635,635,74,71,72,83,61
636,636,86,90,85,80,80
637,637,78,79,79,78,87
638,638,75,72,82,80,80
639,639,80,87,71,73,74
640,640,50,50,62,76,29
641,641,61,65,61,75,57
642,642,76,74,72,70,75
643,643,87,80,83,75,87
644,644,77,70,77,79,72
645,645,54,54,58,77,58
646,646,69,64,75,81,76
647,647,85,87,86,75,73
648,648,68,69,68,77,68
649,649,59,75,55,78,44
650,650,60,64,63,78,67
651,651,34,39,54,75,42
652,652,82,83,83,82,78
653,653,94,92,91,78,76
654,654,35,34,33,77,31
655,655,67,69,55,75,35
656,656,64,65,71,78,63
657,657,41,40,36,78,39
658,658,67,67,65,79,62
659,659,81,82,83,78,72
660,660,57,54,66,76,61
661,661,76,73,79,76,78
662,662,64,52,63,80,71
663,663,69,84,64,78,58
664,664,81,77,86,74,78
665,665,69,69,46,76,39
666,666,49,58,57,73,46
667,667,72,69,73,78,74
668,668,40,39,54,81,53
669,669,71,73,71,75,70
670,670,88,87,82,78,88
671,671,61,56,77,81,89
672,672,72,73,73,81,77
673,673,74,70,78,74,92
674,674,63,55,75,76,91
675,675,51,52,70,78,57
676,676,85,87,79,79,75
677,677,34,34,44,73,50
678,678,60,57,67,77,70
679,679,60,54,74,81,76
680,680,76,73,79,78,79
681,681,55,55,58,76,60
682,682,50,48,45,75,50
683,683,47,51,38,76,45
684,684,64,59,68,75,79
685,685,47,50,65,74,42
686,686,43,49,50,74,60
687,687,74,74,84,73,84
688,688,74,72,79,78,76
689,689,70,69,71,76,73
690,690,71,76,65,77,62
691,691,79,80,74,75,69
692,692,84,76,79,80,70
693,693,86,82,83,82,69
694,694,67,72,49,79,49
695,695,81,78,83,79,67
696,696,79,83,74,72,84
697,697,56,59,44,73,24
698,698,55,55,58,76,33
699,699,73,78,76,75,77
700,700,74,72,70,78,58
701,701,83,78,73,77,79
702,702,79,83,76,72,66
703,703,66,65,63,76,45
704,704,92,92,86,79,66
705,705,63,73,38,74,62
706,706,67,66,66,78,69
707,707,79,79,83,79,78
708,708,74,64,73,73,79
709,709,68,79,65,71,55
710,710,73,84,77,74,66
711,711,79,78,85,70,88
712,712,75,77,80,82,68
713,713,81,83,86,77,55
714,714,85,79,84,71,82
715,715,87,84,86,78,77
716,716,72,80,67,77,50
717,717,95,94,78,76,74
718,718,55,53,41,78,48
719,719,71,70,83,76,67
720,720,60,50,51,76,37
721,721,48,45,60,69,53
722,722,89,90,83,78,77
723,723,68,78,65,79,56
724,724,87,85,77,75,71
725,725,89,89,87,81,64
726,726,79,79,76,76,89
727,727,81,75,79,78,78
728,728,77,70,70,68,67
729,729,74,73,82,74,80
730,730,80,86,90,69,74
731,731,90,78,73,77,77
732,732,82,80,88,65,86
733,733,84,73,77,80,72
734,734,54,62,51,74,51
735,735,67,69,49,79,59
736,736,94,90,74,77,72
737,737,77,80,68,72,58
738,738,93,94,79,80,73
739,739,69,69,69,77,68
740,740,68,68,73,75,60
741,741,71,64,75,73,90
742,742,39,41,50,74,44
743,743,73,81,69,77,64
744,744,61,55,67,82,65
745,745,94,90,92,77,94
746,746,85,86,76,74,77
747,747,64,70,60,78,60
748,748,85,81,78,79,81
749,749,73,76,73,77,71
750,750,41,48,37,74,48
751,751,89,88,81,75,81
752,752,31,27,21,67,34
753,753,90,84,85,75,71
754,754,79,80,79,73,77
755,755,75,72,74,75,62
756,756,94,91,93,76,92
757,757,81,81,91,77,83
758,758,79,85,82,73,79
759,759,66,66,68,75,69
760,760,83,91,66,76,67
761,761,56,58,65,73,56
762,762,66,79,64,77,54
763,763,87,83,77,79,80
764,764,83,83,85,79,81
765,765,58,58,60,72,59
766,766,45,55,50,74,32
767,767,59,61,58,74,59
768,768,81,85,68,77,74
769,769,77,76,73,75,75
770,770,63,70,61,76,57
771,771,67,72,65,75,64
772,772,70,74,67,75,66
773,773,64,60,76,74,81
774,774,75,74,77,78,74
775,775,75,75,71,73,68
776,776,55,48,60,74,64
777,777,69,79,67,74,65
778,778,49,50,34,74,51
779,779,72,70,72,78,74
780,780,75,74,74,83,70
781,781,63,73,69,70,67
782,782,77,79,77,74,71
783,783,74,78,70,77,65
784,784,81,74,82,72,88
785,785,78,72,77,77,73
786,786,59,73,58,73,55
787,787,59,65,54,78,48
788,788,72,74,78,75,80
789,789,82,80,80,75,78
790,790,60,55,62,72,62
791,791,73,68,78,74,79
792,792,74,81,67,79,66
793,793,74,77,74,75,69
794,794,86,73,90,78,91
795,795,72,74,77,76,74
796,796,79,78,67,79,77
797,797,60,61,64,77,64
798,798,81,78,72,76,64
799,799,76,89,64,75,64
800,800,76,73,80,73,88
801,801,74,76,70,74,67
802,802,59,64,65,77,61
803,803,58,53,62,76,54
804,804,66,74,65,77,68
805,805,69,77,60,72,55
806,806,80,82,73,80,54
807,807,55,61,56,76,61
808,808,31,40,32,73,33
809,809,79,75,84,72,80
810,810,89,76,92,70,85
811,811,61,55,71,78,69
812,812,72,75,78,72,77
813,813,75,81,83,81,75
814,814,53,59,45,72,35
815,815,72,65,84,75,89
816,816,89,79,94,75,95
817,817,79,78,79,76,66
818,818,75,75,81,82,76
819,819,89,72,91,76,92
820,820,62,65,60,81,66
821,821,77,79,74,72,84
822,822,77,85,72,69,63
823,823,52,48,64,82,54
824,824,55,54,51,74,43
825,825,75,81,76,76,61
826,826,59,57,49,73,49
827,827,76,79,65,75,63
828,828,67,49,85,75,84
829,829,68,66,69,80,61
830,830,46,43,51,74,38
831,831,40,62,69,76,54
832,832,73,78,70,76,57
833,833,88,90,79,73,80
834,834,39,52,57,80,40
835,835,48,53,37,82,39
836,836,39,48,54,69,34
837,837,68,77,64,74,63
838,838,69,69,65,76,61
839,839,80,82,76,74,74
840,840,87,79,90,74,88
841,841,73,76,73,77,71
842,842,74,77,74,75,69
843,843,69,69,69,77,68
844,844,74,72,79,78,76
845,845,65,62,70,76,68
846,846,65,69,74,80,65
847,847,76,89,64,75,64
848,848,68,78,65,79,56
849,849,60,55,62,72,62
850,850,74,81,67,79,66
851,851,85,86,76,74,77
852,852,58,58,60,72,59
853,853,92,92,86,79,66
854,854,78,69,77,80,74
855,855,76,79,65,75,63
856,856,63,70,61,76,57
857,857,81,85,68,77,74
858,858,31,40,32,73,33
859,859,74,64,73,73,79
860,860,77,84,73,78,77
861,861,50,55,34,66,42
862,862,67,72,65,75,64
863,863,85,81,78,79,81
864,864,94,90,92,77,94
865,865,61,55,71,78,69
866,866,83,83,85,79,81
867,867,81,74,82,72,88
868,868,89,79,94,75,95
869,869,82,80,80,75,78
870,870,78,79,72,81,48
871,871,84,73,77,80,72
872,872,39,52,57,80,40
873,873,79,85,82,73,79
874,874,71,76,65,77,62
875,875,39,48,54,69,34
876,876,71,64,75,73,90
877,877,55,61,63,72,67
878,878,64,73,53,78,50
879,879,77,78,73,75,69
880,880,72,75,78,72,77
881,881,48,53,37,82,39
882,882,91,90,88,76,76
883,883,49,50,34,74,51
884,884,55,61,56,76,61
885,885,61,55,67,82,65
886,886,69,66,78,74,66
887,887,61,67,69,78,72
888,888,82,80,88,65,86
889,889,56,59,44,73,24
890,890,72,74,78,75,80
891,891,66,66,68,75,69
892,892,65,58,67,78,67
893,893,79,83,74,72,84
894,894,52,48,64,82,54
895,895,69,68,79,80,65
896,896,78,78,76,79,68
897,897,79,75,74,78,64
898,898,71,70,83,76,67
899,899,80,87,83,76,76
900,900,55,54,51,74,43
901,901,70,75,69,77,62
902,902,47,49,48,75,45
903,903,89,88,82,75,91
904,904,59,43,57,75,46
905,905,81,75,81,76,76
906,906,83,84,77,74,79
907,907,81,81,79,69,76
908,908,48,52,56,76,66
909,909,35,39,39,68,56
910,910,69,75,64,73,68
911,911,37,37,53,65,43
912,912,71,65,69,76,74
913,913,55,63,66,75,52
914,914,84,80,89,75,90
915,915,62,60,66,77,69
916,916,58,61,65,70,34
917,917,68,73,68,78,79
918,918,74,69,71,77,83
919,919,85,84,84,79,75
920,920,76,64,83,75,78
921,921,27,29,38,75,40
922,922,85,88,64,76,67
923,923,69,69,52,81,48
924,924,57,55,69,78,76
925,925,54,64,67,72,54
926,926,74,67,72,79,69
927,927,53,52,61,82,77
928,928,59,62,59,77,60
929,929,49,46,46,73,34
930,930,64,59,77,74,73
931,931,83,79,71,78,66
932,932,76,75,76,74,76
933,933,77,72,72,75,70
934,934,79,77,79,76,84
935,935,35,34,36,76,55
936,936,60,65,69,75,54
937,937,63,62,69,75,67
938,938,35,45,37,74,43
939,939,69,64,78,75,85
940,940,51,55,54,74,53
941,941,69,67,67,76,73
942,942,74,66,74,80,78
943,943,74,77,81,75,72
944,944,49,57,63,75,49
945,945,65,72,64,78,60
946,946,77,78,86,77,79
947,947,75,69,67,72,82
948,948,75,77,81,81,81
949,949,62,78,67,73,69
950,950,75,73,81,80,80
951,951,87,74,86,82,83
952,952,58,54,66,78,65
953,953,75,69,82,74,85
954,954,66,60,69,74,71
955,955,44,44,59,68,55
956,956,69,63,66,80,70
957,957,85,86,92,77,85
958,958,46,50,55,72,57
959,959,48,46,62,74,43
960,960,79,79,83,77,75
961,961,55,53,40,75,51
962,962,65,67,76,77,66
963,963,55,49,53,75,51
964,964,49,51,32,74,51
965,965,58,57,67,82,64
966,966,66,71,64,76,83
967,967,91,91,93,76,89
968,968,89,86,90,71,86
969,969,76,75,63,78,46
970,970,66,66,75,78,74
971,971,86,89,88,74,78
972,972,80,81,75,75,71
973,973,58,60,64,79,62
974,974,73,75,77,75,71
975,975,51,53,60,69,65
976,976,38,47,39,75,36
977,977,78,77,76,79,79
978,978,69,75,69,73,69
979,979,72,67,71,77,76
980,980,94,93,91,79,71
981,981,76,78,67,78,51
982,982,69,66,64,73,67
983,983,43,62,60,72,59
984,984,72,72,51,81,55
985,985,84,90,74,77,74
986,986,85,87,78,74,76
987,987,79,78,61,72,76
988,988,76,80,79,79,73
989,989,65,66,68,72,72
990,990,66,70,77,73,72
991,991,74,78,70,74,69
992,992,69,64,77,73,75
993,993,77,75,76,73,77
